date,disbursement_amount
2023-09-05,94.73
2023-09-06,109.27
2023-09-07,101.14
2023-09-08,106
2023-09-09,49.96
2023-09-10,57.2
2023-09-11,105.05
2023-09-12,89.77
2023-09-13,96.02
2023-09-14,106.56
2023-09-15,109.6
2023-09-16,47.23
2023-09-17,49.23
2023-09-18,93.54
2023-09-19,98.78
2023-09-20,79.72
2023-09-21,93.06
2023-09-22,112.61
2023-09-23,37.19
2023-09-24,54.48
2023-09-25,90.76
2023-09-26,96.74
2023-09-27,100.2
2023-09-28,123.02
2023-09-29,122.95
2023-09-30,58.48
2023-10-01,56.06
2023-10-02,118.6
2023-10-03,127.3
2023-10-04,100.85
2023-10-05,96.09
2023-10-06,115.11
2023-10-07,42.58
2023-10-08,45.59
2023-10-09,103.81
2023-10-10,109.39
2023-10-11,92.48
2023-10-12,112.74
2023-10-13,103.26
2023-10-14,44.09
2023-10-15,48.55
2023-10-16,101.77
2023-10-17,96.38
2023-10-18,98.9
2023-10-19,97.23
2023-10-20,111.72
2023-10-21,50.21
2023-10-22,47.27
2023-10-23,96.17
2023-10-24,105.76
2023-10-25,102.24
2023-10-26,105.31
2023-10-27,119.31
2023-10-28,40.25
2023-10-29,48.67
2023-10-30,120.14
2023-10-31,119.36
2023-11-01,140.77
2023-11-02,141.65
2023-11-03,169.81
2023-11-04,47.23
2023-11-05,54.08
2023-11-06,111.7
2023-11-07,111.65
2023-11-08,119.58
2023-11-09,117.98
2023-11-10,134.91
2023-11-11,58.73
2023-11-12,51.04
2023-11-13,117.28
2023-11-14,111.36
2023-11-15,115.21
2023-11-16,112.52
2023-11-17,130.93
2023-11-18,54.59
2023-11-19,46.13
2023-11-20,126.02
2023-11-21,107.46
2023-11-22,106.25
2023-11-23,120.53
2023-11-24,135.41
2023-11-25,54.89
2023-11-26,54.93
2023-11-27,113.66
2023-11-28,125.46
2023-11-29,131.34
2023-11-30,126.87
2023-12-01,169.57
2023-12-02,63.2
2023-12-03,59.16
2023-12-04,112.08
2023-12-05,116.53
2023-12-06,110.71
2023-12-07,109.19
2023-12-08,132.75
2023-12-09,52.86
2023-12-10,48.37
2023-12-11,111.46
2023-12-12,115.72
2023-12-13,105.67
2023-12-14,105.96
2023-12-15,127.3
2023-12-16,50.24
2023-12-17,53.4
2023-12-18,123.41
2023-12-19,119.74
2023-12-20,113.68
2023-12-21,114.56
2023-12-22,125.91
2023-12-23,51.53
2023-12-24,49.93
2023-12-25,116.77
2023-12-26,109.91
2023-12-27,118.03
2023-12-28,124.15
2023-12-29,151.42
2023-12-30,61.94
2023-12-31,63.69
2024-01-01,115.78
2024-01-02,119.58
2024-01-03,118.35
2024-01-04,95.24
2024-01-05,104.25
2024-01-06,42.77
2024-01-07,45.62
2024-01-08,103.49
2024-01-09,100.57
2024-01-10,107.76
2024-01-11,90.27
2024-01-12,114.38
2024-01-13,43.82
2024-01-14,55.88
2024-01-15,90.15
2024-01-16,90
2024-01-17,91.47
2024-01-18,82.36
2024-01-19,106.25
2024-01-20,38.27
2024-01-21,43.74
2024-01-22,97.28
2024-01-23,106.52
2024-01-24,101
2024-01-25,91.86
2024-01-26,104.27
2024-01-27,45.88
2024-01-28,35.02
2024-01-29,120.76
2024-01-30,116.89
2024-01-31,107.03
2024-02-01,119.55
2024-02-02,157.47
2024-02-03,57.77
2024-02-04,54.21
2024-02-05,94.43
2024-02-06,100.44
2024-02-07,104.1
2024-02-08,104.39
2024-02-09,117.06
2024-02-10,50.62
2024-02-11,40.49
2024-02-12,103.39
2024-02-13,105
2024-02-14,107.4
2024-02-15,108.62
2024-02-16,113.29
2024-02-17,37.78
2024-02-18,54.67
2024-02-19,106.48
2024-02-20,100.03
2024-02-21,113.87
2024-02-22,105.29
2024-02-23,127.4
2024-02-24,47.5
2024-02-25,59.48
2024-02-26,115.27
2024-02-27,118.99
2024-02-28,126.36
2024-02-29,124.44
2024-03-01,158.97
2024-03-02,53.22
2024-03-03,63.15
2024-03-04,111.33
2024-03-05,94.46
2024-03-06,97.95
2024-03-07,92.85
2024-03-08,119.27
2024-03-09,51.63
2024-03-10,56.35
2024-03-11,105.67
2024-03-12,115.03
2024-03-13,97.01
2024-03-14,95.11
2024-03-15,120.84
2024-03-16,49.73
2024-03-17,47.25
2024-03-18,93.07
2024-03-19,104.97
2024-03-20,97.71
2024-03-21,109.59
2024-03-22,123.65
2024-03-23,41.9
2024-03-24,44.47
2024-03-25,99.36
2024-03-26,105.37
2024-03-27,111.52
2024-03-28,99.91
2024-03-29,143.02
2024-03-30,51.62
2024-03-31,50.06
2024-04-01,118.56
2024-04-02,113.03
2024-04-03,115.96
2024-04-04,88.27
2024-04-05,121.6
2024-04-06,43.2
2024-04-07,38.8
2024-04-08,96.87
2024-04-09,94.94
2024-04-10,94.32
2024-04-11,99.36
2024-04-12,114.61
2024-04-13,39.9
2024-04-14,39.64
2024-04-15,94.15
2024-04-16,82.02
2024-04-17,86.78
2024-04-18,104.1
2024-04-19,120.19
2024-04-20,41.69
2024-04-21,46.66
2024-04-22,97.89
2024-04-23,114.53
2024-04-24,102.81
2024-04-25,95.35
2024-04-26,104.84
2024-04-27,33.64
2024-04-28,51.01
2024-04-29,106.14
2024-04-30,102.19
2024-05-01,129.88
2024-05-02,127.32
2024-05-03,164.05
2024-05-04,53.49
2024-05-05,48.17
2024-05-06,116.06
2024-05-07,107.68
2024-05-08,102.09
2024-05-09,116.43
2024-05-10,126.66
2024-05-11,42.09
2024-05-12,47.19
2024-05-13,102.18
2024-05-14,99.17
2024-05-15,113.06
2024-05-16,118.99
2024-05-17,115.31
2024-05-18,51.8
2024-05-19,44.53
2024-05-20,104.75
2024-05-21,104.16
2024-05-22,102.56
2024-05-23,108.07
2024-05-24,119
2024-05-25,50.16
2024-05-26,48.25
2024-05-27,106.49
2024-05-28,102.51
2024-05-29,120.73
2024-05-30,128.76
2024-05-31,145.91
2024-06-01,54.94
2024-06-02,61.42
2024-06-03,139.71
2024-06-04,98.18
2024-06-05,111.5
2024-06-06,104.29
2024-06-07,127.97
2024-06-08,44.17
2024-06-09,37.94
2024-06-10,98.64
2024-06-11,108.73
2024-06-12,110.04
2024-06-13,103.09
2024-06-14,128.66
2024-06-15,38.89
2024-06-16,48.48
2024-06-17,101.39
2024-06-18,104.78
2024-06-19,109.01
2024-06-20,103.6
2024-06-21,122.81
2024-06-22,55.01
2024-06-23,45.53
2024-06-24,113.91
2024-06-25,102.16
2024-06-26,112.15
2024-06-27,117.65
2024-06-28,129.38
2024-06-29,51.66
2024-06-30,59.93
2024-07-01,135.21
2024-07-02,138.7
2024-07-03,132.89
2024-07-04,109.77
2024-07-05,124.74
2024-07-06,56.2
2024-07-07,50.74
2024-07-08,111.42
2024-07-09,106.95
2024-07-10,106.53
2024-07-11,106.9
2024-07-12,128.33
2024-07-13,46.78
2024-07-14,51.06
2024-07-15,122.09
2024-07-16,114.9
2024-07-17,107.75
2024-07-18,116.95
2024-07-19,123.79
2024-07-20,37.19
2024-07-21,43.38
2024-07-22,98.66
2024-07-23,107.81
2024-07-24,110.06
2024-07-25,120.04
2024-07-26,128.48
2024-07-27,48.21
2024-07-28,54.52
2024-07-29,113.38
2024-07-30,128.1
2024-07-31,131.35
2024-08-01,128.92
2024-08-02,165.37
2024-08-03,64.07
2024-08-04,47.16
2024-08-05,114.17
2024-08-06,124.03
2024-08-07,111.53
2024-08-08,111.96
2024-08-09,124.33
2024-08-10,44.65
2024-08-11,54.74
2024-08-12,105.48
2024-08-13,111.08
2024-08-14,107.82
2024-08-15,113.59
2024-08-16,129.37
2024-08-17,56.08
2024-08-18,46.81
2024-08-19,109.24
2024-08-20,105.02
2024-08-21,108.26
2024-08-22,113.23
2024-08-23,132.19
2024-08-24,44.43
2024-08-25,55.2
2024-08-26,119.24
2024-08-27,113.62
2024-08-28,122.44
2024-08-29,123.25
2024-08-30,139.65
2024-08-31,46.92
2024-09-01,71.59
2024-09-02,143.11
2024-09-03,138.9
2024-09-04,113.1
2024-09-05,104.7
2024-09-06,142.89
2024-09-07,50.96
2024-09-08,50.86
2024-09-09,115.95
2024-09-10,114.52
2024-09-11,113.01
2024-09-12,106.96
2024-09-13,131.32
2024-09-14,61.59
2024-09-15,58.38
2024-09-16,121.4
2024-09-17,108.81
2024-09-18,105.97
2024-09-19,111.19
2024-09-20,129.11
2024-09-21,56.97
2024-09-22,40.27
2024-09-23,121.26
2024-09-24,111.17
2024-09-25,109.59
2024-09-26,106.12
2024-09-27,119.13
2024-09-28,63.03
2024-09-29,58.55
2024-09-30,121.44
2024-10-01,132.69
2024-10-02,138.49
2024-10-03,150.56
2024-10-04,127.78
2024-10-05,41.61
2024-10-06,49.17
2024-10-07,110.94
2024-10-08,96.43
2024-10-09,112.32
2024-10-10,111.29
2024-10-11,133.8
2024-10-12,61.83
2024-10-13,57.51
2024-10-14,111.21
2024-10-15,106.22
2024-10-16,128.33
2024-10-17,113.28
2024-10-18,129.99
2024-10-19,50.7
2024-10-20,52.05
2024-10-21,112.2
2024-10-22,109.66
2024-10-23,109.85
2024-10-24,112.97
2024-10-25,126.93
2024-10-26,46.68
2024-10-27,51.61
2024-10-28,111.78
2024-10-29,139.37
2024-10-30,114.48
2024-10-31,136.98
2024-11-01,190.13
2024-11-02,59.06
2024-11-03,69.46
2024-11-04,124.95
2024-11-05,118.78
2024-11-06,122.59
2024-11-07,120.64
2024-11-08,156.95
2024-11-09,62.93
2024-11-10,64.97
2024-11-11,131.79
2024-11-12,120.72
2024-11-13,124.39
2024-11-14,130.51
2024-11-15,139.42
2024-11-16,61.72
2024-11-17,56.02
2024-11-18,125.48
2024-11-19,132.04
2024-11-20,130.47
2024-11-21,125.68
2024-11-22,154.03
2024-11-23,51.08
2024-11-24,61.28
2024-11-25,131.56
2024-11-26,126.19
2024-11-27,130.04
2024-11-28,139.83
2024-11-29,175.04
2024-11-30,65.23
2024-12-01,69
2024-12-02,166.64
2024-12-03,156.17
2024-12-04,119.91
2024-12-05,119.06
2024-12-06,151.34
2024-12-07,50.13
2024-12-08,68.36
2024-12-09,116.06
2024-12-10,138.77
2024-12-11,129.9
2024-12-12,128.09
2024-12-13,144.75
2024-12-14,60.33
2024-12-15,57.73
2024-12-16,135.45
2024-12-17,129.55
2024-12-18,129.81
2024-12-19,126.76
2024-12-20,147.99
2024-12-21,59.91
2024-12-22,47.82
2024-12-23,121.01
2024-12-24,133.6
2024-12-25,130.21
2024-12-26,128.12
2024-12-27,148.76
2024-12-28,60.27
2024-12-29,63.69
2024-12-30,144.11
2024-12-31,150
2025-01-01,127.05
2025-01-02,135.41
2025-01-03,142.74
2025-01-04,54.07
2025-01-05,50.75
2025-01-06,108.04
2025-01-07,112.43
2025-01-08,116.56
2025-01-09,112.68
2025-01-10,111.58
2025-01-11,40.32
2025-01-12,44.26
2025-01-13,106.88
2025-01-14,109.86
2025-01-15,102.43
2025-01-16,107.94
2025-01-17,118.35
2025-01-18,44.43
2025-01-19,39.67
2025-01-20,101.41
2025-01-21,98.87
2025-01-22,101.16
2025-01-23,113.37
2025-01-24,117.44
2025-01-25,63.99
2025-01-26,51.17
2025-01-27,108.28
2025-01-28,102.06
2025-01-29,127.53
2025-01-30,119.91
2025-01-31,142.64
2025-02-01,80.99
2025-02-02,65.07
2025-02-03,152.82
2025-02-04,112.56
2025-02-05,116.6
2025-02-06,127.47
2025-02-07,130.65
2025-02-08,63.49
2025-02-09,56.87
2025-02-10,113.61
2025-02-11,120.81
2025-02-12,122.89
2025-02-13,120.82
2025-02-14,125.27
2025-02-15,48.36
2025-02-16,51.25
2025-02-17,116.78
2025-02-18,120.99
2025-02-19,118.37
2025-02-20,109.32
2025-02-21,137.26
2025-02-22,56.5
2025-02-23,56.21
2025-02-24,123.96
2025-02-25,122.51
2025-02-26,137.93
2025-02-27,134.8
2025-02-28,145.58
2025-03-01,68.76
2025-03-02,67.44
2025-03-03,148.78
2025-03-04,110.09
2025-03-05,111.3
2025-03-06,124.14
2025-03-07,135.3
2025-03-08,57.14
2025-03-09,53.24
2025-03-10,118.14
2025-03-11,123.63
2025-03-12,114.94
2025-03-13,118.65
2025-03-14,133.05
2025-03-15,50.56
2025-03-16,51.32
2025-03-17,119.54
2025-03-18,115.37
2025-03-19,125.81
2025-03-20,112.95
2025-03-21,134.98
2025-03-22,50.63
2025-03-23,61.97
2025-03-24,119.63
2025-03-25,124.68
2025-03-26,109.61
2025-03-27,120.16
2025-03-28,141.72
2025-03-29,61.88
2025-03-30,67.8
2025-03-31,133.4
2025-04-01,142.03
2025-04-02,147.41
2025-04-03,131.48
2025-04-04,120.33
2025-04-05,56.86
2025-04-06,57.64
2025-04-07,103.91
2025-04-08,104.56
2025-04-09,105.42
2025-04-10,99.08
2025-04-11,117.74
2025-04-12,42.22
2025-04-13,43.65
2025-04-14,107.06
2025-04-15,108.71
2025-04-16,116.64
2025-04-17,101.38
2025-04-18,129.41
2025-04-19,47.06
2025-04-20,48.06
2025-04-21,111.54
2025-04-22,100.79
2025-04-23,109.85
2025-04-24,108.58
2025-04-25,126.71
2025-04-26,50.18
2025-04-27,63.19
2025-04-28,120.04
2025-04-29,120.72
2025-04-30,120.2
2025-05-01,146.4
2025-05-02,168.42
2025-05-03,74.55
2025-05-04,62.47
2025-05-05,116.5
2025-05-06,114.97
2025-05-07,122.82
2025-05-08,116.72
2025-05-09,141.87
2025-05-10,55.26
2025-05-11,44.97
2025-05-12,129.46
2025-05-13,130.98
2025-05-14,116.56
2025-05-15,117.95
2025-05-16,140.07
2025-05-17,56.16
2025-05-18,58.12
2025-05-19,132.48
2025-05-20,119.39
2025-05-21,115.7
2025-05-22,112.24
2025-05-23,134.25
2025-05-24,54.07
2025-05-25,65.05
2025-05-26,117.55
2025-05-27,122.04
2025-05-28,120.63
2025-05-29,146.01
2025-05-30,174.92
2025-05-31,59.35
2025-06-01,65.05
2025-06-02,157.4
2025-06-03,155.27
2025-06-04,132.06
2025-06-05,124.51
2025-06-06,137.05
2025-06-07,58.03
2025-06-08,61.15
2025-06-09,126.07
2025-06-10,124.23
2025-06-11,127.62
2025-06-12,128.27
2025-06-13,147.78
2025-06-14,58.49
2025-06-15,53.61
2025-06-16,122.28
2025-06-17,128.67
2025-06-18,116.56
2025-06-19,123.71
2025-06-20,137.41
2025-06-21,54.88
2025-06-22,62.39
2025-06-23,122.79
2025-06-24,121.95
2025-06-25,113.55
2025-06-26,126.22
2025-06-27,143.92
2025-06-28,76.02
2025-06-29,61.21
2025-06-30,141.48
2025-07-01,153.9
2025-07-02,161.91
2025-07-03,151.92
2025-07-04,142
2025-07-05,58.57
2025-07-06,56.06
2025-07-07,119.45
2025-07-08,123.33
2025-07-09,128.64
2025-07-10,116.08
2025-07-11,141.41
2025-07-12,50.84
2025-07-13,62.22
2025-07-14,113.24
2025-07-15,119.06
2025-07-16,124.71
2025-07-17,131.87
2025-07-18,140.5
2025-07-19,51.82
2025-07-20,66.45
2025-07-21,113.93
2025-07-22,109.46
2025-07-23,125.33
2025-07-24,119.71
2025-07-25,135.05
2025-07-26,59.51
2025-07-27,56.74
2025-07-28,119.48
2025-07-29,133.65
2025-07-30,146.61
2025-07-31,145.32
2025-08-01,176.22
2025-08-02,80.29
2025-08-03,62.81
2025-08-04,113.96
2025-08-05,118.99
2025-08-06,122.91
2025-08-07,124.68
2025-08-08,140.29
2025-08-09,57.59
2025-08-10,47.98
2025-08-11,132.02
2025-08-12,122.9
2025-08-13,130.13
2025-08-14,125.52
2025-08-15,144.76
2025-08-16,59.01
2025-08-17,58.29
2025-08-18,127.46
2025-08-19,131.61
2025-08-20,124.85
2025-08-21,127.96
2025-08-22,141.76
2025-08-23,64.34
2025-08-24,51.66
2025-08-25,134.65
2025-08-26,123.64
2025-08-27,115.33
2025-08-28,124.72
2025-08-29,159.88
2025-08-30,69.22
2025-08-31,60.28
2025-09-01,152.44
2025-09-02,143.82
2025-09-03,152.49
2025-09-04,109.65
2025-09-05,133.36
2025-09-06,60.48
2025-09-07,60.65
2025-09-08,126.89
2025-09-09,118.57
2025-09-10,124.12
2025-09-11,124.42
2025-09-12,136.2
2025-09-13,65.05
2025-09-14,61.31
2025-09-15,123.25
2025-09-16,124.78
2025-09-17,125.9
2025-09-18,112.43
2025-09-19,141.94
2025-09-20,52.05
2025-09-21,50.15
2025-09-22,123.14
2025-09-23,135.65
2025-09-24,128.74
2025-09-25,121.5
2025-09-26,147.15
2025-09-27,64.65
2025-09-28,70.25
2025-09-29,144.19
2025-09-30,139.99
2025-10-01,160.61
2025-10-02,158.83
2025-10-03,185.36
2025-10-04,60.17
2025-10-05,62.67
2025-10-06,122.1
2025-10-07,133.25
2025-10-08,126.57
2025-10-09,137.87
2025-10-10,140.14
2025-10-11,66.89
2025-10-12,57.67
2025-10-13,121.65
2025-10-14,122.69
2025-10-15,123.71
2025-10-16,128.21
2025-10-17,147.69
2025-10-18,53.14
2025-10-19,56.45
2025-10-20,138.66
2025-10-21,136.21
2025-10-22,128.49
2025-10-23,126.14
2025-10-24,145.56
2025-10-25,60.37
2025-10-26,50.57
2025-10-27,124.51
2025-10-28,116.07
2025-10-29,147.43
2025-10-30,148.96
2025-10-31,163.99
2025-11-01,88.97
2025-11-02,72.19
2025-11-03,168.03
2025-11-04,142.84
2025-11-05,147.81
2025-11-06,151.67
2025-11-07,160.09
2025-11-08,70.21
2025-11-09,63.53
2025-11-10,140.69
2025-11-11,147.07
2025-11-12,145.72
2025-11-13,132.38
2025-11-14,172.02
2025-11-15,72.14
2025-11-16,60.13
2025-11-17,144.37
2025-11-18,145
2025-11-19,143.64
2025-11-20,138.81
2025-11-21,159.45
2025-11-22,63.83
2025-11-23,71.04
2025-11-24,145.54
2025-11-25,140.09
2025-11-26,146.98
2025-11-27,125.3
2025-11-28,195.26
2025-11-29,63.29
2025-11-30,71.57
2025-12-01,171.47
2025-12-02,170.47
2025-12-03,185.25
2025-12-04,139.86
2025-12-05,166.19
2025-12-06,63.95
2025-12-07,67.11
2025-12-08,143.28
2025-12-09,135.16
2025-12-10,148.88
2025-12-11,139.98
2025-12-12,155.09
2025-12-13,61.79
2025-12-14,73.38
2025-12-15,148.2
2025-12-16,141.04
2025-12-17,141.08
2025-12-18,141.28
2025-12-19,177.2
2025-12-20,66.77
2025-12-21,67.08
2025-12-22,149.55
2025-12-23,144.84
2025-12-24,141.9
2025-12-25,142.31
2025-12-26,164.63
2025-12-27,64.38
2025-12-28,68.99
2025-12-29,165.5
2025-12-30,169.63
2025-12-31,164.8
2026-01-01,148.09
2026-01-02,157.81
2026-01-03,71.96
2026-01-04,55.26
2026-01-05,124.21
2026-01-06,100.87
2026-01-07,130.81
2026-01-08,117.48
2026-01-09,142.75
2026-01-10,47.03
2026-01-11,56.96
2026-01-12,112.12
2026-01-13,114.73
2026-01-14,129.99
2026-01-15,117.4
2026-01-16,137.66
2026-01-17,58.59
2026-01-18,56.36
2026-01-19,119.57
2026-01-20,120.89
2026-01-21,133.16
2026-01-22,118.42
2026-01-23,137.83
2026-01-24,59.78
2026-01-25,60.12
2026-01-26,126.02
2026-01-27,122.76
2026-01-28,112.1
2026-01-29,146.64
2026-01-30,150.53
2026-01-31,63.43
2026-02-01,68.29
2026-02-02,161.47
2026-02-03,163.87
2026-02-04,131.48
2026-02-05,132.12
2026-02-06,158.75
2026-02-07,61.07
2026-02-08,56.9
2026-02-09,135.51
2026-02-10,136.9
2026-02-11,122.43
2026-02-12,133.41
2026-02-13,153.55
2026-02-14,56.67
2026-02-15,66.72
2026-02-16,129.07
2026-02-17,130.76
2026-02-18,129
2026-02-19,130.17
2026-02-20,143.05
2026-02-21,49.92
2026-02-22,68.15
2026-02-23,125.13
2026-02-24,124.3
2026-02-25,117.36
2026-02-26,146.03
2026-02-27,164.46
2026-02-28,77.33
2026-03-01,79.42
2026-03-02,158.95
2026-03-03,176.63
2026-03-04,136.42
2026-03-05,128.62
2026-03-06,135.19
2026-03-07,72.53
2026-03-08,50.46
2026-03-09,120.83
2026-03-10,136.88
2026-03-11,145.41
2026-03-12,139.12
2026-03-13,153.86
2026-03-14,62.46
2026-03-15,64.03
2026-03-16,135.5
2026-03-17,132.67
2026-03-18,131.65
2026-03-19,130.68
2026-03-20,146.23
2026-03-21,57.32
2026-03-22,48.86
2026-03-23,130.6
2026-03-24,125.3
2026-03-25,124.64
2026-03-26,132.38
2026-03-27,159.39
2026-03-28,64.63
2026-03-29,58.58
2026-03-30,145.22
2026-03-31,156.84
2026-04-01,142.05
2026-04-02,146.64
2026-04-03,173.53
2026-04-04,47.49
2026-04-05,53.95
2026-04-06,110.51
2026-04-07,114.94
2026-04-08,120.5
2026-04-09,109.05
2026-04-10,139.08
2026-04-11,53.29
2026-04-12,56.73
2026-04-13,120.08
2026-04-14,126.95
2026-04-15,119.55
2026-04-16,116.26
2026-04-17,137.43
2026-04-18,56.76
2026-04-19,53.81
2026-04-20,119.2
2026-04-21,114.78
2026-04-22,115.04
2026-04-23,110.64
2026-04-24,147.44
2026-04-25,46.14
2026-04-26,49.46
2026-04-27,114.87
2026-04-28,142.46
2026-04-29,135.36
2026-04-30,144.65
2026-05-01,186.51
2026-05-02,76.26
2026-05-03,69.59
2026-05-04,145.54
2026-05-05,125.57
2026-05-06,134.59
2026-05-07,136.57
2026-05-08,155.21
2026-05-09,58.67
2026-05-10,59.01
2026-05-11,133.17
2026-05-12,132.06
2026-05-13,138.76
2026-05-14,146.28
2026-05-15,149.66
2026-05-16,51.67
2026-05-17,59.37
2026-05-18,148.63
2026-05-19,128.37
2026-05-20,143.06
2026-05-21,143.33
2026-05-22,149.97
2026-05-23,63.41
2026-05-24,69.78
2026-05-25,131.13
2026-05-26,132.21
2026-05-27,129.98
2026-05-28,127.42
2026-05-29,172.71
2026-05-30,61.78
2026-05-31,69.35
2026-06-01,162.44
2026-06-02,168.5
2026-06-03,157.81
2026-06-04,135.74
2026-06-05,158.85
2026-06-06,48.26
2026-06-07,62.48
2026-06-08,141.26
2026-06-09,126.67
2026-06-10,144
2026-06-11,136.51
2026-06-12,149.9
2026-06-13,59.99
2026-06-14,63.69
2026-06-15,134.59
2026-06-16,137.4
2026-06-17,128.68
2026-06-18,135.26
2026-06-19,145.93
2026-06-20,59.77
2026-06-21,55.03
2026-06-22,129.97
2026-06-23,141.83
2026-06-24,141
2026-06-25,138.14
2026-06-26,148.14
